createtopost,followers_count,bi_followers_count,friends_count,statuses_count,favourites_count,share_ct,comment_ct,attitudes_ct,verified,verified_type,verified_kind,gender,geo_enabled,province,hasURL,emotion,length,realwd,imgwd,engwd,otherwd,is_rumor
798,5227232,989,1066,57182,1713,417,117,1,1,celebrity,yellowV,1,0,42,0,2,82,57.14,19.05,4.76,19.05,FALSE
1068,3795782,194,308,57450,392,495,214,7,1,media,blueV,1,0,44,0,-6,407,64.1,20.51,0,15.38,FALSE
191,30118,431,696,413,3,115,108,0,1,enterprise,blueV,0,1,33,0,5,216,61.22,10.2,4.08,24.49,FALSE
443,133222,137,269,44636,27,197,102,4,1,website,blueV,1,0,44,0,-2,84,63.16,26.32,0,10.53,FALSE
146,46628,1036,1698,5104,634,233,65,22,1,celebrity,yellowV,1,0,37,0,-2,402,63.64,11.36,0,25,FALSE
955,4795968,1040,1528,21390,352,372,125,0,1,media,blueV,1,0,44,0,3,412,65.52,14.94,0,19.54,FALSE
848,9288094,1192,1439,42171,0,484,105,0,1,celebrity,yellowV,1,1,44,0,4,420,61.46,10.42,0,28.12,FALSE
43,244521,163,231,677,0,277,191,16,0,senior master,master,0,1,400,0,5,410,55.56,25.25,0,19.19,FALSE
929,872989,398,603,27733,99,76,86,0,1,gov,blueV,1,1,37,0,3,413,56.82,17.05,1.14,25,FALSE
164,251592,347,661,6187,9,576,619,0,1,enterprise,blueV,0,1,21,1,7,384,65.52,4.6,9.2,20.69,FALSE
1167,6045,151,302,14514,454,1304,133,12,0,normal user,normal user,0,1,100,0,0,417,67.03,18.68,0,14.29,FALSE
998,8730824,698,981,43093,63,140,36,0,1,media,blueV,1,1,11,0,1,165,53.85,28.21,0,17.95,FALSE
515,4946173,1336,2040,41358,28,1529,594,0,0,normal user,normal user,0,1,44,0,0,74,56.25,6.25,6.25,31.25,FALSE
268,59426,142,208,3955,11,129,4,0,1,media,blueV,0,1,400,0,2,356,47.73,12.5,14.77,25,FALSE
495,25569,875,1168,9601,21,1040,307,0,1,celebrity,yellowV,1,0,44,1,2,367,54.32,20.99,4.94,19.75,FALSE
578,43791,2453,2463,12265,0,145,71,0,1,celebrity,yellowV,1,1,11,0,2,398,68.83,11.69,3.9,15.58,FALSE
1060,10130708,78,330,77282,21702,425,85,1,0,normal user,normal user,1,0,44,0,0,159,53.85,12.82,5.13,28.21,FALSE
245,1915,3,7,797,0,69,8,0,1,enterprise,blueV,1,1,44,1,0,394,60.23,14.77,6.82,18.18,FALSE
976,61661,277,284,1694,37,1580,261,79,1,celebrity,yellowV,1,0,11,0,2,195,67.5,20,0,12.5,FALSE
1134,4625621,908,953,42761,2,656,53,5,1,media,blueV,1,1,33,0,-2,384,64.13,18.48,0,17.39,FALSE
640,69107,770,809,2352,202,883,170,17,0,normal user,normal user,1,1,43,0,-4,378,75,13.16,0,11.84,FALSE
817,22565,348,445,2633,0,158,71,0,1,celebrity,yellowV,1,1,11,0,0,92,52.17,21.74,0,26.09,FALSE
746,62700,241,265,2911,0,1114,66,4,1,media,blueV,1,0,31,1,-3,393,65,7.5,5,22.5,FALSE
394,36727,194,216,2400,19,379,804,5,1,media,blueV,0,1,45,0,1,356,63.74,7.69,0,28.57,FALSE
661,885055,263,632,21429,1,148,38,0,1,enterprise,blueV,1,0,44,1,3,234,60,10,8,22,FALSE
629,130544,809,988,11244,731,401,198,0,0,normal user,normal user,1,0,44,0,3,383,63.33,13.33,1.11,22.22,FALSE
739,4655897,88,111,106603,8,528,148,0,0,normal user,normal user,0,1,11,0,0,301,63.33,18.33,1.67,16.67,FALSE
1133,5453873,536,1049,66454,505,593,87,154,1,media,blueV,1,1,44,0,1,356,63.86,20.48,0,15.66,FALSE
233,35907,12,25,348,2,315,221,405,1,media,blueV,1,1,31,0,0,155,60,17.14,0,22.86,FALSE
755,143757,112,114,379,56,125,369,34,1,celebrity,yellowV,1,0,11,0,0,414,65.59,20.43,1.08,12.9,FALSE
1620,8730823,698,981,43093,63,1009,909,120,1,media,blueV,1,1,11,0,-2,368,58.33,17.86,0,23.81,FALSE
749,381063,104,109,4873,0,667,92,639,0,normal user,normal user,1,0,400,1,1,234,53.7,18.52,7.41,20.37,FALSE
467,1202105,814,1510,57016,21,722,66,0,0,normal user,normal user,0,1,35,1,2,210,49.21,14.29,6.35,30.16,FALSE
608,35024,1309,1437,44761,3168,569,228,0,1,celebrity,yellowV,1,1,44,0,0,74,53.33,0,0,46.67,FALSE
1437,1413603,603,891,6303,11,353,137,143,1,celebrity,yellowV,0,1,11,0,-2,417,64.29,25,0,10.71,FALSE
1089,4451885,507,617,926,59,584,2122,2883,1,celebrity,yellowV,0,0,11,0,6,314,48.1,29.11,0,22.78,FALSE
1385,738092,183,282,428,148,277,788,564,1,celebrity,yellowV,1,0,37,0,-1,413,68.37,12.24,1.02,18.37,FALSE
1219,333254,117,216,5880,498,1441,139,306,1,enterprise,blueV,1,0,100,0,2,155,55.88,17.65,11.76,14.71,FALSE
255,24991,171,182,184,1,493,438,410,0,normal user,normal user,1,0,11,1,4,136,42.86,17.14,11.43,28.57,FALSE
755,4166694,99,162,45821,20,1321,145,19,0,senior master,master,0,0,11,0,-10,390,61.54,15.38,0,23.08,FALSE
262,306226,1466,1681,12530,1589,475,78,1,1,enterprise,blueV,1,1,11,1,1,98,54.17,8.33,16.67,20.83,FALSE
60,3378787,133,194,5727,483,987,128,1,0,normal user,normal user,1,0,400,0,-3,101,52.17,30.43,0,17.39,FALSE
772,17831,568,598,1875,42,313,129,0,0,senior master,master,0,1,400,0,1,153,30,4,0,66,FALSE
824,5453873,536,1049,66454,505,1091,218,34,1,media,blueV,1,1,44,0,2,384,59.41,19.8,2.97,17.82,FALSE
678,82606,0,0,1058,0,188,61,6,1,celebrity,yellowV,1,0,51,0,5,405,63.95,18.6,0,17.44,FALSE
429,20416,58,149,4125,12,1162,62,84,0,normal user,normal user,1,0,400,0,1,261,47.89,23.94,5.63,22.54,FALSE
962,1408088,179,308,10289,163,517,41,2,1,enterprise,blueV,0,1,31,0,1,186,50,6,8,36,FALSE
719,199689,1571,2238,2247,7,954,171,46,1,celebrity,yellowV,1,0,400,1,1,270,49.18,13.11,6.56,31.15,FALSE
1105,5526,69,95,551,19,164,31,3,0,senior master,master,0,1,61,1,-1,293,42.68,8.54,20.73,28.05,FALSE
1209,1715481,220,474,40667,1,1298,397,1480,1,enterprise,blueV,0,0,11,1,3,404,48.89,23.33,4.44,23.33,FALSE
290,1046578,38,135,36388,2606,1543,275,0,0,normal user,normal user,0,0,44,1,0,94,40,0,32,28,FALSE
1407,54903,1879,1957,3250,39,798,197,35,1,celebrity,yellowV,1,0,81,0,-2,417,50,31.71,0,18.29,FALSE
42,1987643,21,35,46529,9,564,103,0,0,normal user,normal user,0,0,44,0,0,36,55.56,11.11,0,33.33,FALSE
603,1791922,98,229,8091,1453,581,87,4,0,normal user,normal user,0,1,31,0,-1,93,50,31.82,0,18.18,FALSE
552,4449331,337,424,9987,114,359,192,0,1,celebrity,yellowV,1,0,11,0,1,414,60.71,22.62,1.19,15.48,FALSE
958,2730634,309,361,22040,39,170,21,0,1,media,blueV,1,1,11,1,-9,407,50,24.07,3.7,22.22,FALSE
1032,5411385,156,185,4220,42,1103,1046,909,1,celebrity,yellowV,0,0,71,0,1,306,59.7,20.9,1.49,17.91,FALSE
466,7540451,66,1116,16178,0,850,219,610,0,normal user,normal user,0,0,11,0,-1,373,61.11,21.11,2.22,15.56,FALSE
1243,35242,280,517,6213,5098,1592,1186,23,1,celebrity,yellowV,1,0,33,0,3,390,61.29,6.45,5.38,26.88,FALSE
690,2377079,33,57,46036,59,553,158,191,0,normal user,normal user,1,0,71,0,-3,416,60.87,19.57,0,19.57,FALSE
1226,12448574,891,1376,91291,59,433,261,5,1,media,blueV,1,0,11,1,-1,402,67.78,7.78,4.44,20,FALSE
1373,8014572,704,722,5459,72,656,108,64,1,celebrity,yellowV,1,0,11,0,-5,420,71.6,8.64,0,19.75,FALSE
283,293153,818,2500,5064,1291,218,54,0,1,website,blueV,1,0,44,0,0,200,50.91,7.27,1.82,40,FALSE
45,1459380,4,7,6908,2,1715,495,38,0,normal user,normal user,0,0,400,0,0,71,63.64,27.27,0,9.09,FALSE
921,8616465,318,507,31778,8309,492,212,188,1,media,blueV,1,1,11,1,-1,398,60.44,13.19,4.4,21.98,FALSE
679,5453873,536,1049,66454,505,340,93,5,1,media,blueV,1,1,44,0,2,345,58.9,12.33,1.37,27.4,FALSE
997,6214264,297,772,77865,1094,144,57,5,1,enterprise,blueV,0,0,11,0,-11,410,55.29,20,2.35,22.35,FALSE
1175,14461070,796,1815,86190,33,168,163,8,1,media,blueV,1,1,11,1,1,402,56.84,15.79,4.21,23.16,FALSE
162,1618659,103,308,23649,124,1323,269,1,0,normal user,normal user,1,1,400,1,4,256,45,18.33,10,26.67,FALSE
1104,6912767,262,317,42190,696,506,188,3,1,media,blueV,1,1,44,1,1,396,66.25,5,7.5,21.25,FALSE
551,428096,51,100,4850,1,508,109,1,1,media,blueV,1,1,11,1,3,312,52.17,17.39,13.04,17.39,FALSE
1101,1059443,609,858,139723,0,1560,111,89,0,normal user,normal user,0,1,11,0,-6,402,68.32,18.81,0,12.87,FALSE
129,7097,13,37,511,0,1209,173,0,0,normal user,normal user,1,0,50,1,2,380,43.75,17.71,5.21,33.33,FALSE
1008,4911328,184,190,21133,16,448,358,331,1,media,blueV,1,0,44,0,-3,285,56.06,21.21,0,22.73,FALSE
663,7763628,831,1383,138151,50,424,62,0,1,media,blueV,1,1,11,1,1,368,60.27,10.96,9.59,19.18,FALSE
1014,1654559,1925,1927,12360,20,1168,508,2,1,celebrity,yellowV,1,1,11,0,-1,411,65.38,16.67,0,17.95,FALSE
1245,9880882,283,311,14554,14,435,94,19,1,media,blueV,1,1,11,1,1,361,56.41,15.38,6.41,21.79,FALSE
99,152054,404,531,1554,12,390,65,0,0,normal user,normal user,0,1,11,0,-4,387,59.34,6.59,0,34.07,FALSE
876,196323,10,19,213919,1045,88,11,1,1,website,blueV,1,1,14,0,0,384,43.48,28.7,0,27.83,FALSE
511,287624,23,27,4043,78,656,139,14,0,normal user,normal user,0,0,44,0,6,416,64.84,18.68,0,16.48,FALSE
245,138,29,188,1657,453,921,203,0,0,normal user,normal user,1,1,11,1,-1,79,42.86,14.29,19.05,23.81,FALSE
986,5264391,128,521,66011,747,846,139,26,0,normal user,normal user,0,0,44,0,1,381,47.47,15.15,0,37.37,FALSE
489,601467,1,1,13317,237,1095,196,0,0,normal user,normal user,0,1,81,0,0,34,71.43,0,0,28.57,FALSE
943,2475774,399,433,1670,18,750,5289,1387,1,celebrity,yellowV,0,1,11,0,-1,168,65.85,19.51,0,14.63,FALSE
408,21321,1181,1410,3787,25,379,133,0,1,celebrity,yellowV,1,1,44,0,2,317,64.94,1.3,3.9,29.87,FALSE
367,518,4,1511,885,0,1048,865,0,0,normal user,normal user,1,1,41,1,0,132,66.67,5.56,11.11,16.67,FALSE
953,523179,312,312,806,15,182,25,187,1,celebrity,yellowV,1,1,11,0,0,379,60.23,26.14,1.14,12.5,FALSE
1017,3745931,49,143,89171,3747,861,241,86,0,normal user,normal user,0,1,11,0,0,117,46.15,11.54,3.85,38.46,FALSE
757,1337439,27,44,3592,26,551,60,208,0,normal user,normal user,0,0,44,0,1,249,64.15,15.09,0,20.75,FALSE
574,8712126,1168,1177,4144,899,1383,513,1,0,normal user,normal user,1,0,100,0,-1,416,62.24,10.2,0,27.55,FALSE
763,1925844,598,1769,43882,20,247,20,3,0,normal user,normal user,0,0,11,0,-3,414,62.14,14.56,0,23.3,FALSE
513,639191,443,1138,10256,697,706,105,0,1,enterprise,blueV,0,1,81,0,1,56,53.33,6.67,0,40,FALSE
647,12448574,891,1376,91291,59,839,357,0,1,media,blueV,1,0,11,1,-3,405,59.76,17.07,4.88,18.29,FALSE
42,333102,176,436,2387,0,670,67,0,0,normal user,normal user,1,1,33,0,-1,36,55.56,22.22,0,22.22,FALSE
492,367739,1,2,2569,0,762,153,1039,1,media,blueV,1,0,32,1,0,158,40.91,11.36,9.09,38.64,FALSE
750,564,61,250,1645,192,68,8,2,0,junior master,master,0,1,81,0,-6,379,44.04,14.68,10.09,31.19,FALSE
97,15193,931,1333,149,0,482,559,304,1,celebrity,yellowV,0,1,44,1,4,372,60,12.5,5,22.5,FALSE
214,1643633,33,271,43267,20,1654,290,0,0,normal user,normal user,0,0,400,0,4,288,53.97,33.33,0,12.7,FALSE
1478,13782043,441,539,56594,2281,953,685,63,1,media,blueV,1,0,31,0,-1,406,62.5,16.96,0,20.54,FALSE
1163,10247680,375,461,21079,863,1153,104,126,1,enterprise,blueV,1,0,11,0,4,407,48.51,10.89,0,40.59,FALSE
412,283264,0,0,155,0,1096,825,489,1,celebrity,yellowV,1,0,71,1,1,351,51.19,17.86,9.52,21.43,FALSE
1297,8750176,55,98,15314,83,766,61,225,1,enterprise,blueV,0,0,35,0,-1,391,56.18,21.35,3.37,19.1,FALSE
285,308559,148,470,6910,760,361,78,0,0,normal user,normal user,1,0,400,1,1,302,40.58,13.04,21.74,24.64,FALSE
510,532294,91,107,4029,0,463,69,1,0,normal user,normal user,0,1,51,0,2,371,49.48,8.25,0,42.27,FALSE
1346,160554,135,183,939,264,395,226,191,1,celebrity,yellowV,0,1,11,0,-2,174,44.44,24.44,0,31.11,FALSE
630,5139265,119,132,11461,6,377,196,0,1,media,blueV,1,0,44,1,1,220,48.98,18.37,8.16,24.49,FALSE
810,394723,106,265,5997,3,1517,78,75,0,normal user,normal user,0,1,44,0,-5,276,70.97,19.35,0,9.68,FALSE
895,4225540,365,462,87536,64,411,97,0,1,media,blueV,0,0,11,0,0,154,54.55,15.15,0,30.3,FALSE
968,573650,509,523,9368,94,185,91,112,1,celebrity,yellowV,1,0,400,0,2,196,57.78,22.22,0,20,FALSE
892,5453873,536,1049,66454,505,917,467,41,1,media,blueV,1,1,44,0,5,349,51.09,15.22,0,33.7,FALSE
454,3990271,257,279,4518,8,764,1413,1009,1,celebrity,yellowV,1,1,44,0,0,63,76.47,11.76,0,11.76,FALSE
1177,1729602,321,463,41156,2303,1884,266,14,1,media,blueV,1,0,50,0,-4,401,59.76,14.63,1.22,24.39,FALSE
693,35560,270,1504,24595,35,323,75,0,1,enterprise,blueV,1,1,71,1,-1,406,50.52,16.49,4.12,28.87,FALSE
805,145417,1198,1818,6429,126,54,35,0,1,media,blueV,0,1,53,1,4,397,59.26,14.81,4.94,20.99,FALSE
1176,4393580,226,352,33427,64,268,232,6,1,media,blueV,1,0,11,1,0,400,61.54,13.19,4.4,20.88,FALSE
1629,14461077,796,1815,86190,33,1143,1917,1302,1,media,blueV,1,1,11,1,5,402,67.71,11.46,4.17,16.67,FALSE
1631,6912769,262,317,42190,696,675,741,138,1,media,blueV,1,1,44,1,7,408,60.47,13.95,4.65,20.93,FALSE
1028,259911,242,455,2078,641,174,219,214,1,celebrity,yellowV,0,1,35,0,-1,128,57.14,21.43,0,21.43,FALSE
128,802641,661,2175,75322,331,1335,246,0,0,normal user,normal user,1,0,44,0,1,382,56.96,27.85,0,15.19,FALSE
475,707943,798,1031,1584,24,120,52,0,1,celebrity,yellowV,0,1,44,1,-1,355,57.3,11.24,4.49,26.97,FALSE
561,985855,237,351,17858,6,543,96,0,1,media,blueV,0,1,11,1,1,189,48.94,14.89,12.77,23.4,FALSE
507,32929,1356,2180,22871,4,1073,336,0,1,celebrity,yellowV,1,0,100,0,0,48,58.33,25,0,16.67,FALSE
1109,4460285,259,302,73936,1214,931,93,2,0,normal user,normal user,0,0,43,0,-2,408,63.73,12.75,0,23.53,FALSE
1266,4225540,365,462,87536,64,366,342,71,1,media,blueV,0,0,11,1,0,384,58.89,15.56,4.44,21.11,FALSE
439,1096919,87,153,4949,1035,369,43,0,0,normal user,normal user,0,1,31,0,-3,378,70.37,19.75,2.47,7.41,FALSE
758,1302841,148,548,66107,18,657,29,118,0,normal user,normal user,0,1,32,0,-2,174,56.41,30.77,0,12.82,FALSE
809,12028928,1037,1168,61211,17330,1488,424,8,1,celebrity,yellowV,1,0,400,0,0,145,50,23.53,0,26.47,FALSE
649,62591,1934,2000,11836,227,514,67,0,1,website,blueV,1,1,44,1,3,397,53.19,14.89,5.32,26.6,FALSE
22,10404,117,120,111,35,796,760,1,0,normal user,normal user,1,1,21,0,0,73,63.16,5.26,5.26,26.32,FALSE
17,611,8,27,11,1,1017,1260,0,0,normal user,normal user,0,0,44,1,3,174,56.82,6.82,11.36,25,FALSE
1244,2116382,312,481,19750,210,647,96,95,0,normal user,normal user,1,0,11,0,-1,72,52.94,29.41,0,17.65,FALSE
1051,7272380,1392,2002,62265,69,1000,319,9,1,media,blueV,1,1,11,1,0,285,66.67,14.04,7.02,12.28,FALSE
760,8438,42,68,28595,3667,228,9,0,0,normal user,normal user,0,0,400,0,1,110,48.28,13.79,6.9,31.03,FALSE
491,1003948,1895,1951,21660,66,868,1070,18,1,media,blueV,1,0,11,0,4,368,80.61,4.08,0,15.31,FALSE
45,34207,282,426,5503,36,168,85,0,0,normal user,normal user,1,1,400,0,0,12,100,0,0,0,FALSE
1482,3561,241,439,4652,5,243,24,2,1,celebrity,yellowV,0,1,11,1,4,402,50.56,12.36,4.49,32.58,FALSE
1381,13782043,441,539,56594,2281,718,235,176,1,media,blueV,1,0,31,1,2,401,60.82,17.53,4.12,17.53,FALSE
1006,297546,1267,2181,8914,10137,328,86,9,0,normal user,normal user,1,0,43,0,-5,406,73.47,11.22,0,15.31,FALSE
997,3953431,538,776,45102,1828,171,62,1,1,media,blueV,1,1,33,0,-4,409,66.27,16.87,0,16.87,FALSE
683,1062623,11,99,11672,14,108,17,0,0,normal user,normal user,0,1,400,0,3,394,54.08,8.16,8.16,29.59,FALSE
300,315,202,309,761,517,70,40,0,0,senior master,master,1,1,44,0,5,222,46.03,7.94,0,46.03,FALSE
1393,1056292,291,304,1320,334,1238,225,595,1,celebrity,yellowV,1,0,11,0,5,335,58.97,24.36,0,16.67,FALSE
390,23848,7,37,1160,1,642,95,136,0,normal user,normal user,0,1,400,0,0,110,45.45,9.09,9.09,36.36,FALSE
629,258006,266,269,8340,394,425,70,0,1,website,blueV,1,1,11,1,1,277,39.29,8.33,14.29,38.1,FALSE
634,28236693,168,481,46232,189,1607,386,683,1,media,blueV,1,1,11,0,-2,245,53.57,10.71,0,35.71,FALSE
134,537,82,323,2448,158,430,80,0,0,senior master,master,1,1,37,0,0,51,46.15,23.08,0,30.77,FALSE
1654,2565143,166,369,29129,8848,555,255,165,0,normal user,normal user,1,1,33,0,-3,393,56.1,9.76,6.1,28.05,FALSE
261,30581454,266,687,41841,12,1081,299,50,1,media,blueV,1,0,11,0,0,386,61.9,14.29,0,23.81,FALSE
710,49793,776,1970,5048,67,155,70,0,0,normal user,normal user,1,0,11,0,-2,252,49.18,16.39,0,34.43,FALSE
955,514248,148,148,1804,1,1876,430,0,1,celebrity,yellowV,1,0,11,1,-1,387,61.25,10,5,23.75,FALSE
1452,7311730,207,249,36161,13,1552,161,228,1,media,blueV,1,0,81,0,-4,360,62.82,14.1,0,23.08,FALSE
576,5961,669,924,15406,161,522,222,4,0,senior master,master,1,1,13,0,-7,407,67.05,17.05,0,15.91,FALSE
660,2377079,33,57,46036,59,1874,108,164,0,normal user,normal user,1,0,71,0,-4,412,44.9,34.69,0,20.41,FALSE
394,2065915,572,655,16862,46,305,75,0,1,celebrity,yellowV,0,0,11,1,3,213,51.16,23.26,9.3,16.28,FALSE
1491,6932084,32,46,206,0,1323,331,798,1,celebrity,yellowV,0,0,71,0,0,204,66.67,16.67,2.38,14.29,FALSE
732,4628031,2086,2406,21276,9,729,85,216,0,normal user,normal user,0,1,100,0,-1,160,60.53,31.58,0,7.89,FALSE
1230,218896,489,810,1562,10,366,330,14,1,celebrity,yellowV,0,1,44,0,2,339,70.83,13.89,0,15.28,FALSE
764,150536,1200,1994,19455,114,957,162,5,1,celebrity,yellowV,1,1,43,0,0,393,69.74,7.89,0,22.37,FALSE
1074,14461083,796,1815,86190,33,248,206,34,1,media,blueV,1,1,11,1,0,391,56.98,9.3,10.47,23.26,FALSE
1518,1261774,2275,2798,28553,21986,442,93,83,1,celebrity,yellowV,1,0,11,0,-2,418,64.21,13.68,0,22.11,FALSE
577,479252,31,33,1840,0,282,301,23,1,celebrity,yellowV,1,0,11,0,-1,260,64.15,16.98,0,18.87,FALSE
1239,3525668,219,315,16842,22,413,143,159,1,media,blueV,0,1,11,0,-5,118,50,21.43,0,28.57,FALSE
1164,1618659,103,308,23649,124,644,240,99,0,normal user,normal user,1,1,400,1,1,283,61.19,14.93,5.97,17.91,FALSE
644,10653482,150,166,15111,64,393,332,55,1,media,blueV,1,0,11,0,4,257,53.23,22.58,1.61,22.58,FALSE
1009,5068330,151,175,71058,378,908,73,1,0,normal user,normal user,1,0,44,0,2,189,59.18,16.33,0,24.49,FALSE
605,2987,171,391,30714,64,97,20,13,0,senior master,master,0,1,32,1,0,171,53.19,0,10.64,36.17,FALSE
460,1212613,0,0,18481,13,1453,456,0,0,normal user,normal user,0,0,44,0,-1,131,67.74,3.23,0,29.03,FALSE
340,1078118,75,490,41592,138,338,71,1,0,normal user,normal user,1,0,44,0,0,301,50.7,19.72,1.41,28.17,FALSE
838,209445,1889,3000,8708,5019,407,188,3,1,celebrity,yellowV,0,1,35,0,3,413,69.89,9.68,0,20.43,FALSE
505,1185,76,132,1993,1,1576,2295,0,1,enterprise,blueV,1,1,51,0,3,258,70.37,9.26,0,20.37,FALSE
90,1987643,21,35,46529,9,750,96,0,0,normal user,normal user,0,0,44,0,0,36,46.15,15.38,0,38.46,FALSE
290,21198,52,67,4170,24,714,32,93,0,normal user,normal user,0,0,31,0,1,257,57.14,20.63,0,22.22,FALSE
1247,611257,91,107,1127,259,845,489,247,1,celebrity,yellowV,0,0,100,1,0,267,47.62,22.22,6.35,23.81,FALSE
753,109081,62,118,993,10,1868,2131,130,1,celebrity,yellowV,1,1,71,0,3,145,40,15,2.5,42.5,FALSE
675,5453873,536,1049,66454,505,636,222,3,1,media,blueV,1,1,44,1,3,404,56.82,13.64,4.55,25,FALSE
878,169324,23,40,2013,7,887,57,306,1,website,blueV,0,1,400,1,6,179,53.06,6.12,10.2,30.61,FALSE
1447,9880889,283,311,14554,14,1022,121,180,1,media,blueV,1,1,11,0,-2,420,57.78,28.89,0,13.33,FALSE
459,663749,100,125,29170,1,479,271,1,1,media,blueV,1,0,11,1,1,81,61.11,0,22.22,16.67,FALSE
1012,4138515,766,1876,39660,18602,768,192,2,0,normal user,normal user,0,1,11,0,2,304,52.56,21.79,0,25.64,FALSE
1445,76082,182,419,5244,74,292,122,102,1,celebrity,yellowV,1,1,21,1,0,240,29.63,18.52,9.26,42.59,FALSE
969,3883933,122,192,18608,15,1096,1024,1798,1,media,blueV,1,1,43,0,3,375,68.83,12.99,0,18.18,FALSE
1120,3953431,538,776,45102,1828,265,150,26,1,media,blueV,1,1,33,0,0,420,59.77,14.94,0,25.29,FALSE
592,1629295,380,715,17698,2,380,82,2,0,normal user,normal user,0,0,33,0,1,206,50,18.75,6.25,25,FALSE
771,1845974,1692,1865,50348,2,583,554,106,1,org,blueV,0,0,31,1,1,396,54.44,15.56,7.78,22.22,FALSE
1520,6313,101,188,1618,329,1100,206,136,0,senior master,master,0,1,11,0,4,388,59.57,26.6,0,13.83,FALSE
920,9288100,1192,1439,42171,0,853,144,4,1,celebrity,yellowV,1,1,44,0,-8,384,51.22,26.83,0,21.95,FALSE
1141,3612057,485,869,118602,999,841,142,3,0,normal user,normal user,0,0,81,0,-6,202,63.41,2.44,0,34.15,FALSE
1210,4182819,1525,2006,53536,196,1559,152,18,1,media,blueV,1,1,41,0,-3,401,65.56,7.78,0,26.67,FALSE
307,34628,523,1928,7704,38,784,94,0,0,normal user,normal user,0,1,11,0,0,54,50,0,16.67,33.33,FALSE
893,6199620,201,658,79196,477,963,155,10,0,normal user,normal user,1,0,11,0,-1,88,54.55,22.73,0,22.73,FALSE
1360,125532,78,112,26360,1504,416,221,16,0,normal user,normal user,1,1,37,0,4,387,60,11.58,10.53,17.89,FALSE
395,26612390,589,1321,53384,6,669,351,0,1,media,blueV,1,1,11,1,1,404,60.47,19.77,4.65,15.12,FALSE
1140,3953431,538,776,45102,1828,481,234,6,1,media,blueV,1,1,33,0,-1,410,61.54,16.48,1.1,20.88,FALSE
975,10130709,78,330,77282,21702,701,180,0,0,normal user,normal user,1,0,44,0,1,178,46.34,29.27,2.44,21.95,FALSE
79,131524,131,197,325,162,402,112,0,1,celebrity,yellowV,1,0,31,0,1,342,56.06,21.21,0,22.73,FALSE
255,1480,71,129,444,46,1189,185,0,0,normal user,normal user,1,0,81,0,0,36,85.71,14.29,0,0,FALSE
497,153916,436,566,4876,36,320,326,0,1,enterprise,blueV,0,1,11,0,4,410,69.15,9.57,0,21.28,FALSE
1406,1664610,846,1069,5826,2728,1642,221,35,1,celebrity,yellowV,1,0,400,0,0,63,61.54,23.08,0,15.38,FALSE
406,10622086,432,991,103881,45,946,139,0,0,normal user,normal user,0,1,11,0,0,48,64.29,7.14,0,28.57,FALSE
1626,12298281,894,1492,88805,389,854,432,336,1,media,blueV,1,0,11,0,0,385,64.84,9.89,3.3,21.98,FALSE
982,5264393,128,521,66011,747,1102,72,47,0,normal user,normal user,0,0,44,0,2,202,65.22,17.39,0,17.39,FALSE
895,3144,136,674,12641,130,58,12,0,0,normal user,normal user,0,1,71,0,0,71,45.45,18.18,0,36.36,FALSE
1489,11642462,1312,2008,66390,443,975,83,152,1,media,blueV,1,1,11,0,3,417,51.72,24.14,0,24.14,FALSE
514,629153,197,242,1531,206,430,97,27,1,celebrity,yellowV,1,1,44,0,-4,237,57.89,26.32,0,15.79,FALSE
1554,3687314,222,260,12358,42,762,249,148,1,celebrity,yellowV,0,1,81,0,4,404,62.65,16.87,0,20.48,FALSE
1121,1078671,476,559,17734,10,977,256,4,1,celebrity,yellowV,1,1,11,0,0,77,77.78,5.56,0,16.67,FALSE
935,167958,1862,2000,25693,0,48,47,15,1,celebrity,yellowV,1,1,11,0,0,406,60.64,26.6,0,12.77,FALSE
810,319218,347,518,7631,526,967,153,15,1,media,blueV,1,0,11,0,1,400,65.93,12.09,0,21.98,FALSE
322,255524,1502,1620,8348,31,882,230,0,0,normal user,normal user,0,1,31,0,1,394,71.6,13.58,0,14.81,FALSE
383,551841,20,60,14475,7,495,52,2,0,normal user,normal user,1,1,400,1,0,91,30.43,13.04,21.74,34.78,FALSE
1044,1664610,846,1069,5826,2728,890,410,3,1,celebrity,yellowV,1,0,400,0,-1,111,57.89,26.32,0,15.79,FALSE
656,10463241,700,1099,56377,26,300,93,0,1,media,blueV,0,1,11,1,2,378,55.95,14.29,5.95,23.81,FALSE
779,1512,99,250,18331,417,508,39,0,0,normal user,normal user,0,0,100,0,-6,317,54.67,26.67,2.67,16,FALSE
515,181469,366,468,3113,16,475,283,0,1,celebrity,yellowV,1,1,31,0,-1,165,57.14,31.43,0,11.43,FALSE
1541,12298282,894,1492,88805,389,832,480,166,1,media,blueV,1,0,11,1,-1,402,70.73,7.32,4.88,17.07,FALSE
737,399695,1,63,11568,0,578,59,0,0,normal user,normal user,1,0,400,0,-4,349,51.52,8.08,0,40.4,FALSE
1105,4946174,1336,2040,41358,28,1061,306,5,0,normal user,normal user,0,1,44,0,-5,375,51.69,14.61,2.25,31.46,FALSE
1078,7763629,831,1383,138151,50,1068,429,0,1,media,blueV,1,1,11,1,6,408,55.06,12.36,4.49,28.09,FALSE
712,1082569,36,105,163523,0,851,70,3,0,normal user,normal user,0,1,37,0,-1,413,62.22,21.11,0,16.67,FALSE
